X1,X2,X3,X4,X5,X6,X7,Y
943,946,481,299,98,345,473,358566.4
548,169,566,557,440,12,402,12540.4
17,152,509,608,533,915,337,10459.6
456,776,911,306,557,898,939,241484.4
633,460,943,683,602,990,664,86008
863,778,638,256,499,14,327,242627.6
951,81,869,982,936,195,847,4590.4
468,381,112,597,319,888,502,59260.4
967,460,731,123,231,661,304,84888
557,838,43,904,299,242,465,282707.6
972,229,618,461,64,259,983,21900.4
320,113,363,924,412,973,215,6957.6
851,188,714,368,725,462,232,14875.6
378,274,794,649,936,746,509,31330.4
290,502,869,693,216,105,202,102189.6
680,15,920,554,370,176,787,1200
711,573,638,444,818,61,961,132221.6
115,820,426,800,770,496,390,270562
462,630,531,226,52,858,368,159214
611,625,756,772,295,351,939,157796
996,387,209,343,787,490,616,60595.6
749,413,788,752,385,693,900,69733.6
212,445,10,803,799,45,939,80818
495,279,316,147,979,964,738,31432.4
336,881,513,23,527,754,636,310512.4
362,196,193,629,437,373,358,16626.4
333,22,290,866,904,767,635,1927.6
496,896,357,55,454,912,726,321238.4
72,917,649,598,1001,26,521,337553.6
468,100,358,781,940,924,41,5564
317,345,54,537,767,952,781,48686
142,825,676,797,993,262,433,273846
108,14,65,594,312,35,474,1268.4
71,407,625,846,81,708,246,67953.6
634,228,25,750,341,54,275,22295.6
715,886,137,404,153,196,480,314808.4
105,664,600,469,273,197,632,177298.4
398,528,121,255,738,22,824,112025.6
114,760,632,934,130,30,52,232910
413,381,301,829,48,558,709,59724.4
951,149,556,40,733,463,820,8962.4
421,653,700,334,432,973,491,171233.6
103,168,722,546,496,869,810,12383.6
277,250,743,950,487,534,388,26902
760,617,450,890,911,917,383,154057.6
944,846,262,494,742,669,27,287276.4
119,244,593,127,954,262,976,24070.4
350,837,875,958,834,963,690,282145.6
932,431,241,668,413,104,567,75642.4
367,724,162,377,230,402,155,210426.4
956,264,826,774,193,419,818,29428.4
396,886,142,300,63,306,957,314600.4
29,942,445,707,982,167,491,356361.6
723,259,610,779,277,842,61,28392.4
604,256,200,786,256,58,549,27788.4
43,1000,468,236,196,794,191,400474
118,247,428,477,428,627,255,25359.6
813,874,624,571,735,846,497,306694.4
934,532,509,677,315,166,167,114565.6
114,17,484,440,45,596,287,997.6
16,52,721,649,67,637,946,2381.6
614,473,47,706,184,539,430,90905.6
196,923,172,627,171,163,606,342027.6
221,423,607,968,327,213,454,73509.6
236,497,892,647,635,424,506,100099.6
627,333,970,83,546,642,726,44523.6
441,156,692,447,443,265,880,10630.4
966,648,767,48,716,415,695,168059.6
983,267,801,886,551,129,331,30289.6
161,908,163,352,245,552,73,330491.6
925,507,579,521,516,970,572,103863.6
594,59,273,826,751,624,322,3046.4
718,499,184,391,478,634,468,100384.4
203,730,469,331,94,262,990,213824
503,463,39,717,271,708,699,87183.6
389,291,869,19,941,990,621,33912.4
638,799,182,309,118,749,727,255980.4
588,922,606,970,925,806,488,341975.6
74,309,617,791,324,907,925,39776.4
904,143,81,555,913,42,877,9291.6
473,681,469,306,793,837,979,186118.4
887,809,556,273,99,280,191,262340.4
925,710,297,992,522,1000,264,203626
748,383,513,538,293,372,180,59753.6
485,495,982,207,29,853,540,98426
93,848,901,493,968,902,627,288629.6
107,810,190,421,794,881,698,263284
635,344,336,107,272,880,629,47550.4
603,381,811,429,937,509,222,58924.4
892,893,948,926,133,444,310,320833.6
155,382,84,246,302,25,602,58863.6
861,428,197,583,942,718,927,74441.6
707,903,533,758,139,855,399,327681.6
141,653,880,700,851,328,901,171965.6
491,261,817,485,510,847,417,28220.4
666,747,194,872,10,230,497,224949.6
297,779,229,317,525,449,701,243372.4
527,212,789,267,795,288,676,18513.6
438,634,266,120,403,728,687,161024.4
908,15,368,179,465,807,30,450
37,489,911,952,803,235,20,97554.4
81,359,165,175,286,752,575,51904.4
570,412,178,638,748,793,959,69175.6
648,880,205,750,57,530,591,311262
496,266,925,93,425,308,778,28490.4
580,452,685,658,87,88,486,83039.6
110,14,692,194,803,437,988,468.4
368,580,768,554,130,72,156,135670
837,996,865,104,763,247,71,397016.4
983,926,643,610,695,583,535,344212.4
737,919,951,204,846,547,110,338234.4
372,308,410,348,104,324,144,38643.6
695,905,863,39,774,626,565,327690
819,71,546,345,552,366,747,2708.4
982,578,271,918,522,264,57,135471.6
240,454,906,85,522,401,425,82618.4
883,304,122,580,558,713,667,38128.4
670,157,994,907,174,885,20,11675.6
444,833,44,352,227,802,72,278261.6
442,276,284,411,135,68,956,31294.4
975,549,226,952,443,105,487,122466.4
563,123,338,216,297,433,41,6485.6
358,912,535,370,929,509,128,333439.6
675,709,212,247,986,991,236,201568.4
483,107,613,921,38,994,364,6423.6
400,795,144,375,349,542,592,253562
126,394,88,470,242,691,730,63036.4
693,59,403,844,873,652,798,3082.4
141,721,259,378,348,365,865,208694.4
533,607,660,928,113,855,976,149237.6
634,296,152,893,459,433,187,36834.4
498,228,215,477,45,268,255,21749.6
295,315,33,60,17,620,191,39812
998,168,256,163,883,496,82,11617.6
543,911,202,858,871,747,233,333686.4
971,207,99,246,340,571,539,17633.6
842,453,443,981,621,470,897,84047.6
19,463,562,805,357,864,435,87359.6
829,627,495,941,350,844,485,159135.6
445,633,148,36,214,83,100,160349.6
160,588,52,136,36,951,934,138571.6
636,274,954,971,179,36,314,31974.4
194,180,523,200,540,412,220,13362
888,875,922,202,199,811,638,306656
275,509,358,681,370,242,722,104996.4
782,454,68,985,375,480,639,84418.4
15,496,158,211,195,474,214,98830.4
101,411,911,704,346,489,469,68978.4
855,78,832,626,261,184,950,3687.6
674,233,845,61,47,737,865,21839.6
352,240,675,237,113,412,912,23516
528,211,271,889,385,278,232,19588.4
916,63,427,234,392,811,198,2057.6
914,379,981,479,120,308,829,58416.4
405,475,496,46,291,902,425,90344
715,699,876,174,977,699,41,195790.4
505,923,272,943,770,358,478,342659.6
566,360,492,312,768,785,51,52466
884,671,358,706,761,760,964,181510.4
569,631,546,791,904,380,762,160848.4
27,745,792,910,305,691,186,223832
228,31,109,921,234,633,599,2228.4
754,695,928,133,235,515,682,193478
21,336,59,80,268,824,437,45320.4
293,790,231,147,115,418,285,249936
393,115,530,635,94,817,513,6562
789,770,33,587,265,877,796,238336
402,794,561,68,477,940,97,252312.4
443,113,550,51,766,826,787,5211.6
277,197,981,265,127,650,658,16055.6
605,710,906,99,247,431,95,201840
544,412,862,933,854,596,355,69765.6
621,350,782,765,447,614,891,50532
568,452,756,14,236,683,144,81751.6
976,765,147,537,596,958,252,235166
397,605,212,802,203,311,402,148016
853,358,161,516,383,369,701,52299.6
62,886,158,104,245,324,218,314208.4
941,36,311,354,699,920,948,1228.4
383,736,821,904,779,476,701,218488.4
197,277,913,131,174,171,264,30955.6
537,806,747,768,162,126,110,261392.4
107,433,222,399,776,348,668,75795.6
976,557,136,867,230,719,357,125835.6
844,273,567,637,335,799,863,31087.6
46,871,641,43,877,28,447,303544.4
236,397,964,825,427,277,424,64695.6
649,15,253,942,195,66,39,1976
299,122,114,474,130,755,542,6903.6
664,330,471,871,123,507,687,45304
343,245,205,467,366,738,947,24946
202,950,641,787,879,826,567,362576
77,177,672,310,488,864,306,13153.6
409,715,730,85,884,973,56,204662
970,853,382,686,717,647,703,292417.6
600,18,431,75,905,250,830,281.6
785,798,68,238,539,860,619,255199.6
205,450,585,576,997,936,473,82154
494,179,655,36,84,352,863,12890.4
165,886,544,89,986,495,50,314178.4
584,806,373,542,179,915,362,260940.4
952,928,960,21,294,684,221,344517.6
649,691,466,764,903,350,599,192522.4
213,818,929,882,189,228,336,269415.6
16,666,477,753,257,500,933,178930.4
302,108,271,339,776,144,975,5345.6
768,529,724,251,85,534,42,112440.4
348,978,194,221,527,319,270,383037.6
183,410,616,702,244,393,406,68646
320,913,414,824,203,747,103,335077.6
319,448,333,472,336,600,448,81227.6
235,860,559,755,743,971,953,297352
380,109,950,597,648,697,843,5948.4
409,481,204,398,814,895,776,93342.4
814,80,435,945,745,349,718,4452
68,37,915,17,173,22,902,583.6
738,173,429,156,514,230,992,12285.6
61,288,81,89,550,122,25,33357.6
327,571,757,954,449,152,846,132326.4
66,334,387,671,362,709,990,45966.4
813,112,161,697,582,307,838,6413.6
985,126,819,970,761,970,389,8292.4
457,737,380,619,618,640,675,218507.6
717,126,154,633,888,149,875,7618.4
122,376,435,598,895,726,35,57748.4
872,710,511,341,685,945,782,202324
580,853,940,649,552,987,321,292343.6
903,262,110,274,992,316,877,28007.6
299,386,890,32,448,110,852,59664.4
201,915,176,561,526,604,449,336014
809,892,159,993,654,325,513,320253.6
369,551,111,391,752,814,820,122224.4
273,663,76,651,341,659,757,177131.6
927,462,553,644,902,205,348,86667.6
894,198,830,363,635,545,948,16409.6
913,999,794,980,631,616,416,401162.4
476,27,218,731,18,323,49,1755.6
225,504,304,201,999,187,825,102010.4
393,69,346,582,897,609,650,3070.4
813,940,231,993,852,361,399,355428
767,190,505,208,199,701,798,14858
484,917,968,764,120,218,89,337885.6
447,391,763,22,81,658,493,61198.4
252,991,905,184,958,710,438,393202.4
753,496,320,513,470,68,416,99434.4
398,779,379,904,480,907,114,244546.4
922,99,873,815,888,915,578,5552.4
791,441,630,366,101,801,598,78526.4
510,470,385,230,356,664,409,88822
203,511,410,292,705,101,133,105034.4
203,314,322,502,878,261,771,40444.4
644,84,442,1000,312,227,628,4824.4
157,231,528,350,375,829,94,22046.4
992,844,943,657,353,950,481,286250.4
632,134,851,116,929,521,55,7416.4
513,461,561,176,831,846,753,85362.4
265,200,132,73,252,837,797,16148
191,907,737,874,722,49,640,330809.6
380,712,521,918,369,925,135,204615.6
39,481,43,172,531,162,273,92890.4
747,643,308,179,439,233,791,165739.6
226,847,44,893,497,124,74,288751.6
503,319,397,34,442,386,306,40774.4
569,868,478,281,910,900,875,301933.6
142,948,827,675,611,778,1001,360833.6
978,842,988,905,830,598,703,285397.6
190,909,315,294,689,348,770,331102.4
544,978,690,769,944,39,757,384133.6
64,815,380,725,452,465,385,267142
595,624,672,270,438,237,498,156292.4
586,201,730,681,44,767,835,17524.4
100,745,911,476,657,844,413,222964
626,893,706,952,144,885,176,320885.6
33,690,114,943,674,384,359,192328
129,845,473,588,77,130,197,286788
245,999,973,227,298,716,171,399656.4
368,100,944,135,481,547,226,4272
453,361,75,893,457,826,636,53916.4
704,308,784,95,250,708,193,38137.6
441,341,557,741,298,784,568,47996.4
595,883,420,882,634,198,211,313641.6
590,707,197,250,146,419,893,200441.6
95,227,422,981,110,601,353,22575.6
589,493,612,111,114,247,972,97443.6
922,975,443,549,46,785,602,381350
990,164,50,909,594,534,311,12578.4
647,922,878,631,605,699,918,341297.6
12,89,84,363,102,351,274,3896.4
858,207,760,509,145,268,914,18159.6
810,658,870,173,642,755,823,173533.6
526,532,777,654,41,714,117,114519.6
614,744,930,441,440,532,201,222298.4
573,405,910,827,531,542,26,67266
334,239,677,355,393,549,682,23560.4
346,429,212,404,740,784,449,74426.4
799,170,347,77,168,478,788,11716
72,946,320,389,412,419,504,358746.4
193,35,565,358,808,163,628,1208
788,318,327,399,368,148,219,41249.6
379,634,79,347,451,943,811,161478.4
937,448,639,82,896,874,249,80447.6
864,546,105,63,422,635,62,119374.4
117,70,877,272,716,300,367,2506
643,599,711,883,269,644,426,145288.4
367,203,368,594,437,586,29,17673.6
116,580,738,123,831,641,558,134808
720,82,852,284,568,128,648,3259.6
974,238,520,631,485,945,592,23921.6
257,827,17,643,984,201,968,274859.6
520,213,618,558,453,87,927,19265.6
472,266,922,429,746,476,63,29162.4
875,43,885,269,998,906,394,1279.6
157,857,10,793,769,325,210,295367.6
249,798,854,159,466,707,961,255041.6
351,798,372,568,458,854,367,255859.6
861,65,816,335,116,430,348,2362
455,23,719,202,629,104,370,617.6
190,527,215,923,603,619,52,112939.6
730,863,542,58,655,174,67,298025.6
929,546,703,719,498,203,569,120686.4
370,990,518,744,154,351,689,393530
472,846,905,454,569,464,982,287196.4
492,275,193,491,115,673,720,31234
742,550,323,368,194,607,276,121738
386,869,502,842,483,51,194,303750.4
131,116,523,182,601,800,142,5748.4
746,888,686,19,703,877,226,315457.6
167,27,524,98,886,891,874,489.6
628,664,582,916,786,756,293,178192.4
479,242,52,837,188,524,98,25101.6
785,775,981,328,392,435,923,240908
338,221,789,750,380,479,54,21038.4
44,208,758,934,779,247,359,19175.6
389,865,738,672,257,996,407,300636
74,449,673,968,502,211,623,82578.4
168,818,149,176,459,106,63,268003.6
244,334,914,511,751,209,55,45646.4
414,186,875,18,552,722,512,13876.4
180,244,826,585,341,719,147,24986.4
299,224,359,115,268,895,115,20302.4
688,957,76,983,837,474,337,368307.6
248,58,417,372,77,760,672,2091.6
49,199,449,108,737,737,565,16058.4
551,609,450,84,652,506,189,148522.4
472,711,954,456,647,701,65,203122.4
699,834,263,446,450,878,649,279116.4
436,841,247,534,925,538,798,283982.4
377,193,660,204,27,677,472,15309.6
399,731,412,147,159,618,856,214040.4
335,412,705,411,624,223,366,68721.6
213,606,246,758,30,939,860,148412.4
277,908,475,496,262,358,298,330779.6
262,638,217,701,355,572,409,164221.6
174,434,622,10,471,935,612,75364.4
693,129,860,671,818,622,656,8000.4
401,73,489,775,606,882,81,3683.6
565,237,552,675,86,768,532,23819.6
17,258,989,916,958,67,727,28459.6
617,53,553,571,152,750,917,2267.6
820,996,210,751,215,884,603,398310.4
84,37,684,33,671,885,721,615.6
440,912,826,163,412,543,342,333025.6
550,45,469,203,148,384,748,1218
526,898,397,336,309,347,639,323235.6
481,934,567,71,878,170,277,349086.4
259,209,19,867,463,576,912,19208.4
219,140,962,324,925,522,368,8490
900,965,517,91,189,864,555,372674
765,476,88,87,755,278,342,90806.4
589,64,721,586,788,309,695,2812.4
860,872,558,398,937,689,547,304951.6
511,437,456,444,354,626,905,77277.6
233,233,792,656,122,554,942,23029.6
797,975,407,551,305,241,142,381354
563,84,131,780,493,158,392,4384.4
521,620,515,59,403,262,188,153880
274,644,147,839,588,176,770,167574.4
746,281,753,704,914,33,816,32994.4
211,930,281,287,556,209,79,346536
539,464,589,490,138,70,110,87100.4
402,845,191,952,40,373,426,287516
786,801,494,807,382,368,417,258256.4
559,750,239,443,922,337,137,225888
699,104,768,313,647,276,241,4954.4
445,882,722,802,127,332,388,312775.6
794,817,362,779,741,609,829,268555.6
21,725,400,612,471,521,640,211476
318,939,362,125,145,126,79,352940.4
802,565,35,43,846,239,535,127778
49,40,128,701,565,701,547,2044
601,711,722,101,224,403,788,202412.4
496,109,814,212,81,194,578,5178.4
605,333,400,548,692,205,343,45453.6
913,823,933,279,879,726,464,271491.6
130,897,987,129,716,178,90,322103.6
695,780,898,890,574,193,164,245142
967,440,418,238,647,262,606,77918
271,342,214,982,38,424,809,48751.6
63,512,354,99,728,789,467,105057.6
301,593,262,412,358,809,272,141485.6
666,564,524,984,382,865,338,129208.4
251,704,80,657,82,111,221,199562.4
180,376,29,865,885,711,615,58282.4
419,119,297,547,395,431,276,6760.4
394,693,348,361,490,206,377,192823.6
442,686,739,926,997,316,996,190092.4
577,30,156,662,38,504,279,1686
40,404,519,908,124,193,252,67104.4
324,98,250,867,706,453,434,5577.6
257,363,412,705,704,534,888,54119.6
102,614,875,973,1001,968,163,152746.4
956,299,557,851,75,264,632,37464.4
486,660,365,972,292,810,460,176186
529,267,208,505,252,258,178,29527.6
220,744,645,254,20,735,713,221924.4
347,787,338,539,151,67,473,248827.6
834,266,281,13,694,699,190,28330.4
466,931,689,35,232,323,921,346776.4
835,289,981,274,959,99,622,33958.4
897,185,12,683,644,969,162,15058
905,428,301,329,142,200,102,73933.6
501,283,733,667,753,902,307,33371.6
590,231,414,722,158,578,246,22790.4
691,706,111,436,438,870,400,200248.4
485,286,385,391,325,516,689,33502.4
988,208,149,543,858,933,639,18393.6
556,251,880,533,204,855,706,26268.4
578,915,242,578,760,872,851,336048
308,395,286,253,484,361,629,62918
282,419,413,775,929,281,715,71776.4
358,287,996,320,901,341,859,33589.6
463,346,759,587,963,588,21,49062.4
335,711,437,875,575,69,626,203960.4
324,946,841,639,725,64,605,359246.4
660,344,761,994,239,90,958,49324.4
484,932,913,440,815,864,828,348331.6
435,61,794,774,790,24,307,3038.4
464,250,930,389,328,958,508,25780
59,34,168,525,170,444,709,1514.4
984,563,844,385,503,213,66,127559.6
956,515,719,694,735,902,941,107480
358,735,408,305,130,157,687,216702
53,312,25,902,919,789,263,40743.6
485,943,865,754,647,927,924,357209.6
81,392,790,898,146,591,202,63263.6
920,215,351,432,437,76,676,19356
968,752,398,635,576,193,510,227473.6
758,511,658,327,945,745,121,105104.4
870,513,24,1001,823,521,282,107271.6
917,728,922,503,584,869,101,213001.6
404,481,911,882,577,563,369,94310.4
468,485,238,22,562,575,553,94136
333,609,203,704,382,726,151,149762.4
427,895,876,652,111,591,99,321716
72,998,100,565,475,432,342,399533.6
161,437,631,187,343,950,436,76763.6
598,765,282,501,146,807,348,235094
932,79,34,910,625,380,472,4318.4
911,498,493,328,773,765,981,99859.6
496,838,683,628,318,599,888,282155.6
253,987,965,412,935,47,476,390493.6
436,49,232,431,164,148,548,1824.4
226,46,679,254,236,29,647,1356.4
738,699,140,85,196,162,611,195612.4
471,68,170,961,837,118,362,3773.6
389,572,222,315,396,752,447,131505.6
687,383,246,492,60,213,950,59661.6
804,434,58,944,68,453,343,77232.4
71,805,411,891,172,925,359,260994
355,884,175,54,427,980,579,312692.4
967,751,607,274,270,135,840,226150.4
525,537,844,214,829,856,403,115777.6
27,570,18,869,103,541,649,131700
522,413,659,261,870,236,584,68751.6
289,55,744,846,182,258,16,2904
298,168,420,516,215,675,220,12323.6
143,848,474,312,211,352,33,288267.6
838,762,196,210,724,627,40,232679.6
518,824,164,794,585,263,874,273180.4
400,20,946,617,822,747,518,1396
462,261,944,223,51,210,491,27696.4
700,153,147,852,945,922,462,11069.6
604,825,723,903,636,925,332,274058
901,694,255,182,57,791,469,193020.4
517,973,109,501,974,314,571,379695.6
544,262,326,631,869,121,482,28721.6
430,206,791,766,149,220,197,18508.4
986,1000,799,403,197,135,992,400808
48,23,944,85,987,344,972,383.6
898,751,996,368,343,895,852,226338.4
296,925,689,749,502,411,418,343750
238,865,385,608,980,172,488,300508
975,465,169,759,592,332,79,88010
568,213,856,992,44,151,446,20133.6
658,751,639,442,15,418,605,226486.4
184,983,844,595,77,238,301,387707.6
590,772,470,829,41,302,446,240053.6
696,730,671,75,831,698,254,213312
371,73,405,353,391,863,956,2839.6
726,744,349,453,659,829,77,222322.4
91,80,205,266,920,323,66,3094
90,616,965,876,378,964,771,153536.4
566,771,654,641,184,25,744,239060.4
950,823,896,279,712,268,697,271491.6
313,737,389,394,56,913,125,218057.6
844,75,147,855,960,320,884,3962
897,941,814,671,291,279,81,355536.4
73,970,916,515,777,863,658,377392
118,471,869,888,855,532,94,90514.4
841,223,220,711,524,898,968,21315.6
870,727,123,812,114,279,366,213037.6
717,623,459,863,966,62,725,156979.6
540,106,702,280,763,406,29,5056.4
368,997,266,131,102,440,141,397867.6
866,324,743,837,114,126,589,43666.4
30,119,164,853,996,43,729,7372.4
528,999,770,619,231,868,360,400440.4
747,242,425,701,314,629,178,24829.6
702,848,722,524,84,275,784,288691.6
821,869,167,328,472,848,634,302722.4
390,460,114,277,570,874,196,85196
987,890,338,62,979,439,476,316966
743,251,951,894,100,135,818,26990.4
392,787,245,862,71,431,353,249473.6
294,66,218,898,191,768,71,3540.4
379,838,548,865,285,510,911,282629.6
962,247,853,615,73,137,716,25635.6
515,603,825,815,681,755,423,147075.6
991,351,36,715,895,529,383,50712.4
148,811,659,745,160,780,130,264580.4
695,585,163,362,244,690,402,137616
245,886,938,362,470,454,799,314724.4
601,326,204,474,771,114,891,43460.4
409,909,117,519,424,369,147,331552.4
881,350,247,356,415,931,765,49714
42,334,487,524,980,628,361,45672.4
503,783,524,669,137,352,117,246575.6
709,749,457,91,607,141,93,224584.4
197,835,187,998,297,618,505,280888
322,337,396,227,51,433,95,45883.6
695,78,558,514,859,408,510,3463.6
896,498,186,296,80,52,133,99795.6
509,239,320,402,460,801,662,23654.4
756,154,410,95,13,871,232,9678.4
485,272,563,947,558,30,529,31489.6
500,816,368,600,955,669,745,267544.4
245,606,116,183,504,680,610,147262.4
723,71,600,609,803,777,506,3236.4
900,957,187,409,644,953,693,367159.6
400,646,54,156,388,413,227,167240.4
377,595,643,107,420,477,701,141826
735,68,452,532,171,596,206,2915.6
542,205,715,164,697,881,77,17140
607,262,993,485,970,53,658,28429.6
185,569,454,40,137,373,348,129586.4
293,77,957,68,118,500,626,2509.6
713,713,576,412,615,471,458,204173.6
564,709,703,920,117,283,594,202914.4
422,933,897,838,838,956,894,349873.6
341,578,563,278,952,949,910,134191.6
761,286,907,841,173,978,826,34402.4
748,815,954,393,925,686,675,266478
578,551,994,384,888,933,810,122210.4
666,258,711,566,36,213,679,27759.6
351,420,952,188,607,686,887,70938
383,404,646,964,630,703,137,67216.4
995,875,508,316,82,223,74,306884
453,448,874,773,278,717,752,81829.6
833,79,889,555,390,566,867,3608.4
348,56,996,115,957,347,78,1486.4
14,27,159,722,565,108,581,1737.6
609,992,104,940,768,352,586,395507.6
769,271,366,393,211,722,171,30164.4
270,174,766,998,676,516,87,14108.4
200,858,544,689,22,310,984,295845.6
666,632,379,657,595,471,621,161085.6
672,561,952,971,71,418,16,127832.4
475,235,287,624,517,273,176,23340
276,205,711,560,493,887,140,17932
398,83,118,568,883,624,94,3893.6
1000,902,260,814,261,32,90,327071.6
374,665,248,466,924,259,618,177824
29,622,730,843,102,691,164,156441.6
745,531,305,89,25,297,952,112964.4
821,38,493,63,395,544,355,705.6
257,851,306,278,512,204,784,290238.4
505,28,427,930,501,984,184,2175.6
289,189,963,550,628,255,690,15390.4
864,185,421,924,77,392,362,15540
46,268,829,74,784,331,223,28879.6
881,996,106,58,890,497,744,396924.4
979,44,225,664,925,38,914,2104.4
984,755,873,279,300,891,729,228570
300,768,653,46,580,404,893,236023.6
867,997,525,744,401,251,941,399093.6
309,435,812,337,897,478,170,76366
461,62,131,941,49,410,732,3421.6
607,402,559,428,942,140,955,65499.6
193,951,806,948,549,864,803,363658.4
589,693,969,204,394,420,805,192509.6
785,44,23,292,493,975,687,1360.4
939,789,441,92,561,250,613,249194.4
328,982,410,235,725,788,650,386201.6
641,962,114,500,298,468,135,371179.6
270,160,16,799,98,521,677,11840
391,574,940,751,722,368,341,133294.4
670,44,19,461,761,504,722,1698.4
399,45,316,506,231,71,491,1824
382,702,683,519,717,573,721,198161.6
703,432,285,61,995,413,151,74773.6
19,887,934,597,347,808,918,315903.6
331,909,604,490,449,979,293,331494.4
976,896,486,396,629,870,38,321920.4
698,938,442,694,50,907,202,353327.6
759,460,575,526,175,491,683,85694
389,554,320,296,807,396,42,123360.4
530,415,679,673,964,740,605,70238
265,273,323,531,296,537,314,30875.6
617,956,555,685,206,598,683,366946.4
481,121,833,313,583,700,625,6484.4
815,694,740,754,905,115,714,194164.4
983,613,791,939,339,497,181,152187.6
358,656,925,309,225,564,969,172754.4
718,776,975,566,975,587,963,242004.4
264,712,606,585,703,533,832,203949.6
602,773,592,15,500,401,641,239043.6
675,500,631,826,178,509,113,101654
818,982,776,253,588,955,763,386237.6
539,361,118,436,393,325,468,53002.4
861,514,665,335,808,405,792,106350.4
951,274,239,46,973,351,11,30124.4
646,641,949,16,974,692,266,164386.4
67,420,327,175,813,764,773,70912
916,390,134,144,52,28,144,61130
253,253,405,450,217,868,382,26505.6
88,230,629,457,331,629,529,22076
637,158,867,687,62,748,388,11361.6
640,374,690,200,12,210,620,56352.4
169,828,141,732,53,106,572,275699.6
748,884,999,792,111,743,422,314168.4
54,366,83,798,239,533,381,55180.4
208,211,605,995,724,45,281,19800.4
803,514,540,926,660,209,310,107532.4
665,511,453,916,417,269,796,106282.4
339,675,757,1001,998,367,619,184254
141,376,707,601,732,385,95,57754.4
843,306,405,337,806,451,52,38130.4
400,484,481,321,813,93,954,94346.4
